Name,Team,PTS,AST,REB,3PM
Talen Horton-Tucker,UTA,9.6,4.6,3.0,1.2
Jaden McDaniels,MIN,9.5,1.3,2.2,1.0
"Wendell Carter, Jr.",ORL,9.4,1.6,8.6,1.0
Keyonte George,UTA,9.4,5.3,2.9,1.6
Matt Ryan,NOP,9.3,1.1,2.3,2.5
Myles Turner,IND,17.2,1.5,7.5,1.6
Tim Hardaway Jr.,DAL,17.1,1.7,3.5,3.4
D'Angelo Russell,LAL,16.9,6.2,3.5,2.2
Shaedon Sharpe,POR,16.9,3.1,5.4,1.8
Dennis Schroder,TOR,16.8,6.5,2.8,1.9
Fred VanVleet,HOU,16.6,9.0,4.1,3.1
Keldon Johnson,SAS,16.6,4.3,6.2,2.0
Evan Mobley,CLE,16.3,3.2,10.4,0.1
Chris Paul,GSW,9.3,7.7,3.8,1.2
Christian Braun,DEN,9.2,1.9,4.5,0.7
Killian Hayes,DET,9.2,4.3,2.7,0.9
Josh Richardson,MIA,8.9,2.9,2.6,1.1
Onyeka Okongwu,ATL,8.7,1.4,6.6,0.2
Ziaire Williams,MEM,8.7,1.5,4.6,1.3
Kyle Lowry,MIA,8.6,4.4,4.1,2.1
Taurean Prince,LAL,8.5,1.5,2.3,1.2
Jamal Murray,DEN,16.3,7.4,2.6,2.0
"Kelly Oubre, Jr.",PHI,16.3,0.6,5.1,1.8
Caris LeVert,CLE,15.9,3.9,3.9,1.7
Immanuel Quickley,NYK,15.9,3.1,3.4,2.1
Nikola Vucevic,CHI,15.8,3.1,10.2,0.9
Bogdan Bogdanovic,ATL,15.8,2.5,3.0,3.1
Lonnie Walker,BRK,15.7,1.7,2.8,2.7
OG Anunoby,TOR,15.5,2.2,4.2,2.6
Cole Anthony,ORL,15.0,3.7,4.6,1.4
Klay Thompson,GSW,15.0,2.3,3.3,2.8
Malaki Branham,SAS,8.5,2.2,1.2,0.9
Nick Richards,CHA,8.5,0.4,5.9,0.0
Donte DiVincenzo,NYK,8.4,1.8,3.0,1.9
Cedi Osman,SAS,8.4,1.2,2.1,1.5
Bilal Coulibaly,WAS,8.3,1.9,3.6,1.3
Derrick Jones,DAL,8.3,1.0,3.4,1.4
Luke Kennard,MEM,8.3,2.0,2.9,2.1
Dyson Daniels,NOP,8.2,3.8,5.2,0.9
Dereck Lively II,DAL,8.1,1.3,7.6,0.0
Eric Gordon,PHX,14.9,3.1,2.1,2.9
P.J. Washington,CHA,14.7,1.9,4.9,1.8
John Collins,UTA,14.6,0.9,8.8,1.4
